id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,location_x,location_y,team_id,player_id,shot_bodyPart_head_or_other,assist_type_long_pass,direct_free_kick,assist_type_through_pass,shot_distance,shot_angle,shot_xg
2456217088,5589317,1H,37,54,00:37:54.423,2275.423791,85,54,7455,714791,0,0,0,0,28.284271247461902,26.596917569517,0.1332
2456216984,5589317,1H,44,26,00:44:26.845,2667.84518,83,46,687,302550,0,1,0,1,25.059928172283335,35.902614127705036,0.07951
2456216995,5589317,1H,44,58,00:44:58.148,2699.148912,86,46,687,596052,0,0,0,0,22.47220505424423,38.88977861121536,0.08866
2456217003,5589317,1H,46,1,00:46:01.501,2762.501111,82,46,687,582472,0,0,0,0,25.942243542145693,34.96602982632769,0.1144
2456217212,5589317,2H,54,36,00:54:36.909,3415.909691,95,34,687,713064,0,0,0,0,10.0,83.97442499163331,0.04378
2456217272,5589317,2H,62,43,01:02:43.244,3902.24439,86,46,687,278288,0,0,0,0,22.47220505424423,38.88977861121536,0.08721
2456217553,5589317,2H,74,39,01:14:39.016,4618.016348,99,42,7455,681607,0,0,0,0,10.0,80.02228737984943,0.3604
2456217657,5589317,2H,83,37,01:23:37.701,5156.701536,81,65,7455,643940,0,0,0,0,39.20459156782532,16.525796389925638,0.03102
2456217627,5589317,2H,84,23,01:24:23.527,5202.527982,86,39,687,713064,0,0,0,0,19.6468827043885,48.27300985546386,0.1612
2456217740,5589317,2H,88,49,01:28:49.191,5468.191833,98,34,7455,752487,0,0,0,0,7.0,104.2500326978036,0.1201
2456217754,5589317,2H,89,44,01:29:44.452,5523.452223,96,50,687,607496,0,0,0,0,18.35755975068582,32.32613999437687,0.4946
2456217778,5589317,2H,91,48,01:31:48.392,5647.392559,75,65,687,605383,0,0,0,0,43.139309220245984,16.876264616711186,0.007175
2351936793,5588950,1H,1,52,00:01:52.710,113.710254,90,34,5072,590629,0,0,0,0,15.0,61.92751306414704,0.2829
2351936812,5588950,1H,2,38,00:02:38.403,159.403257,84,47,5072,569212,0,0,0,0,24.698178070456937,35.54792198630704,0.02836
2351936841,5588950,1H,6,39,00:06:39.149,400.149367,88,33,5072,590629,0,0,0,0,17.029386365926403,55.66666856493495,0.1397
2351936843,5588950,1H,7,21,00:07:21.305,442.305367,85,40,5072,563527,0,0,0,0,20.8806130178211,45.40066325579215,0.07833
2351936848,5588950,1H,7,27,00:07:27.248,448.248579,73,37,5072,621523,0,0,0,0,32.14031735997639,31.1757004957386,0.03437
